keyword,tags,lists,clusters,language,country,source,session_id,status_id,volume,kd,cpc,competition_index,competition,intent,bid_low,bid_high,serp_results,avg_backlinks,avg_referring_domains,top_ten_avg_rank,first_seen_at,fetched_at,data_fetched_at,mom_change_pct,trend_30d_pct,trend_90d_pct,trend_6m_pct,trend_12m_pct,chances_score
geburtstagsständchen,,KimMarieBorger,,de,de,research,,,3600,0,1.61,0.03,LOW,transactional,0.32,1.26,91,77.7,1.2,13.9,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,24,0,'-33,50
geige unterricht,,KimMarieBorger,,de,de,research,,,1600,0,1.91,0.32,LOW,informational,0.55,1.94,186,136.7,14.5,23.8,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-23,'-23,'-23,'-23,'-23,45
geigenunterricht,,KimMarieBorger,,de,de,research,,,1600,0,1.6,0.3,LOW,informational,0.54,1.92,133,219.6,15.6,58.7,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,'-37,'-23,0,45
trauermusik,,KimMarieBorger,,de,de,research,,,1600,0,0.92,0.03,LOW,informational,0.2,1.32,108,0.8,0.3,20.4,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,26,26,0,0,'-17,45
musik beerdigung,,KimMarieBorger,,nl,de,research,,,1000,1,0.87,0.03,LOW,informational,0.26,1.51,6650000,6,1.4,64.9,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,22,22,22,22,'-56,42
musik für beerdigung,,KimMarieBorger,,de,de,research,,,1000,0,0.87,0.03,LOW,informational,0.26,1.51,137,6,1.9,66.4,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,'-19,'-19,'-81,42
musik für trauerfeier,,KimMarieBorger,,de,de,research,,,880,0,2.27,0.03,LOW,informational,0.04,2.45,2720000,5.6,1.4,61.3,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,23,23,'-18,'-18,'-64,41
geige lernen,,KimMarieBorger,,de,de,research,,,720,0,1.3,0.54,MEDIUM,informational,0.24,1.56,164,12.3,10.2,18.6,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,'-19,30,'-19,40
hochzeitsmusik,,KimMarieBorger,,de,de,research,,,1000,4,1.93,0.24,LOW,informational,0.62,2.07,288000,13.8,3.6,70.3,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,'-32,'-19,'-55,40
musik hochzeit,,KimMarieBorger,,de,de,research,,,590,0,2.49,0.38,MEDIUM,informational,0.67,2.16,35200000,12.6,3.2,48.9,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,14,14,0,0,'-37,39
