candidate,category,candidate_url,status,profile_url,entity_data_checked,media_complete,referral_sessions,qualified_inquiries,bookings,cost,last_reviewed,next_action
Google Unternehmensprofil,Basis,https://business.google.com/de/business-profile/,unverified,,no,no,0,0,0,,2026-07-29,Status und Eigentümerschaft prüfen
Bing Places,Basis,https://www.bing.com/forbusiness/,unverified,,no,no,0,0,0,,2026-07-29,Status prüfen
Apple Business Connect,Basis,https://business.apple.com/,unverified,,no,no,0,0,0,,2026-07-29,Status prüfen
Gelbe Seiten,Basis,https://www.gelbeseiten.de/,unverified,,no,no,0,0,0,,2026-07-29,Grundeintrag prüfen
eventpeppers,Musik und Event,https://www.eventpeppers.com/,unverified,,no,no,0,0,0,,2026-07-29,Profilstatus prüfen
Eventzone,Musik und Event,https://eventzone.de/,unverified,,no,no,0,0,0,,2026-07-29,Profilstatus prüfen
Gigstarter,Musik und Event,https://www.gigstarter.de/provinces/nordrhein-westfalen/musiker-buchen,unverified,,no,no,0,0,0,,2026-07-29,Profilstatus prüfen
SofaConcerts,Musik und Event,https://www.sofaconcerts.org/de,unverified,,no,no,0,0,0,,2026-07-29,Profilstatus prüfen
Bridebook Business,Hochzeit,https://partners.bridebook.com/de,unverified,,no,no,0,0,0,,2026-07-29,Profilstatus prüfen
Superprof,Unterricht,https://www.superprof.de/unterrichtsangebot/bratsche/deutschland/,unverified,,no,no,0,0,0,,2026-07-29,Profilstatus prüfen
