service,page_kind,priority,risk,action,editor_status,cms_override,cms_override_enabled,slug,target_keyword,url,word_count,unique_word_count,faq_count,image_count,empty_alt_count,unique_alt_count,incoming_internal_links,unique_image_src_count,linked_from_parent,sitemap_included,title_chars,description_chars,nearest_keyword_url,nearest_keyword_similarity,nearest_content_url,nearest_content_similarity,nearest_template_url,nearest_template_similarity,title,h1
"beerdigungen","local","P3","high","rewrite-differentiate","risk-pass-2026-06-16-review-needed","true","true","aachen","Trauermusik Aachen","https://kim-marie-borger.com/beerdigungen/aachen/","1122","362","8","2","0","1","3","1","false","true","39","110","https://kim-marie-borger.com/beerdigungen/bielefeld/","0.5","https://kim-marie-borger.com/beerdigungen/bielefeld/","0.6817","https://kim-marie-borger.com/beerdigungen/bielefeld/","0.9538","Trauermusik Aachen | Viola für Abschied","Trauermusik in Aachen für einen würdevollen Abschied."
"beerdigungen","local","P3","medium","ok","rewritten-batch-16-stretched-review-needed","true","true","bergisch-gladbach","Trauermusik Bergisch Gladbach","https://kim-marie-borger.com/beerdigungen/bergisch-gladbach/","1147","363","8","2","0","1","4","1","false","true","50","132","https://kim-marie-borger.com/beerdigungen/aachen/","0.4","https://kim-marie-borger.com/beerdigungen/aachen/","0.6517","https://kim-marie-borger.com/beerdigungen/aachen/","0.9298","Trauermusik Bergisch Gladbach | Viola für Abschied","Trauermusik in Bergisch Gladbach für einen würdevollen Abschied."
"beerdigungen","local","P3","low","ok","rewritten-batch-16-stretched-review-needed","true","true","bergisches-land","Trauermusik Bergisches Land","https://kim-marie-borger.com/beerdigungen/bergisches-land/","1095","355","8","2","0","1","24","1","false","true","48","128","https://kim-marie-borger.com/beerdigungen/aachen/","0.4","https://kim-marie-borger.com/beerdigungen/rheinland/","0.6394","https://kim-marie-borger.com/beerdigungen/rheinland/","0.9208","Trauermusik Bergisches Land | Viola für Abschied","Trauermusik im Bergischen Land für einen würdevollen Abschied."
"beerdigungen","local","P3","high","rewrite-differentiate","risk-pass-2026-06-16-review-needed","true","true","bielefeld","Trauermusik Bielefeld","https://kim-marie-borger.com/beerdigungen/bielefeld/","1126","363","8","2","0","1","3","1","false","true","42","116","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/aachen/","0.6817","https://kim-marie-borger.com/beerdigungen/aachen/","0.9538","Trauermusik Bielefeld | Viola für Abschied","Trauermusik in Bielefeld für einen würdevollen Abschied."
"beerdigungen","local","P2","medium","ok","manual-priority-local-seo-2026-06-22","true","true","bochum","Trauermusik Bochum","https://kim-marie-borger.com/beerdigungen/bochum/","967","344","8","2","0","1","3","1","false","true","39","126","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/moenchengladbach/","0.6676","https://kim-marie-borger.com/beerdigungen/erkrath/","0.9216","Trauermusik Bochum | Viola für Abschied","Trauermusik in Bochum: ruhig geplant, nicht nur gebucht."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","bonn","Trauermusik Bonn","https://kim-marie-borger.com/beerdigungen/bonn/","1126","359","8","2","0","1","3","1","false","true","37","106","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/bottrop/","0.6683","https://kim-marie-borger.com/beerdigungen/bottrop/","0.9417","Trauermusik Bonn | Viola für Abschied","Trauermusik in Bonn für einen würdevollen Abschied."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","bottrop","Trauermusik Bottrop","https://kim-marie-borger.com/beerdigungen/bottrop/","1122","358","8","2","0","1","3","1","false","true","40","112","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/langenfeld/","0.6692","https://kim-marie-borger.com/beerdigungen/langenfeld/","0.9442","Trauermusik Bottrop | Viola für Abschied","Trauermusik in Bottrop für einen würdevollen Abschied."
"beerdigungen","local","P3","medium","ok","risk-pass-2026-06-16-review-needed","true","true","dormagen","Trauermusik Dormagen","https://kim-marie-borger.com/beerdigungen/dormagen/","1118","359","8","2","0","1","3","1","false","true","41","114","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/haan/","0.6629","https://kim-marie-borger.com/beerdigungen/haan/","0.9442","Trauermusik Dormagen | Viola für Abschied","Trauermusik in Dormagen für einen würdevollen Abschied."
"beerdigungen","local","P2","medium","ok","manual-priority-local-seo-2026-06-22","true","true","dortmund","Trauermusik Dortmund","https://kim-marie-borger.com/beerdigungen/dortmund/","954","347","8","2","0","1","69","1","true","true","41","130","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/remscheid/","0.6649","https://kim-marie-borger.com/beerdigungen/moenchengladbach/","0.9135","Trauermusik Dortmund | Viola für Abschied","Trauermusik in Dortmund: ruhig geplant, nicht nur gebucht."
"beerdigungen","local","P1","low","ok","manual-human-editorial-final-2026-07-29","true","true","duesseldorf","Trauermusik Düsseldorf","https://kim-marie-borger.com/beerdigungen/duesseldorf/","966","348","8","2","0","1","72","1","true","true","43","134","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/wuppertal/","0.5965","https://kim-marie-borger.com/beerdigungen/wuppertal/","0.8805","Trauermusik Düsseldorf | Viola für Abschied","Trauermusik in Düsseldorf — ruhig und verlässlich abgestimmt."
"beerdigungen","local","P2","medium","ok","manual-priority-local-seo-2026-06-22","true","true","duisburg","Trauermusik Duisburg","https://kim-marie-borger.com/beerdigungen/duisburg/","960","345","8","2","0","1","69","1","true","true","41","130","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/erkrath/","0.6636","https://kim-marie-borger.com/beerdigungen/leverkusen/","0.9135","Trauermusik Duisburg | Viola für Abschied","Trauermusik in Duisburg: ruhig geplant, nicht nur gebucht."
"beerdigungen","local","P2","medium","ok","manual-priority-local-seo-2026-06-22","true","true","erkrath","Trauermusik Erkrath","https://kim-marie-borger.com/beerdigungen/erkrath/","956","344","8","2","0","1","3","1","false","true","40","128","https://kim-marie-borger.com/beerdigungen/aachen/","0.5","https://kim-marie-borger.com/beerdigungen/remscheid/","0.6765","https://kim-marie-borger.com/beerdigungen/moenchengladbach/","0.925","Trauermusik Erkrath | Viola für Abschied","Trauermusik in Erkrath: ruhig geplant, nicht nur gebucht."
